"from","to","combined_score","target"
"9606.ENSP00000353007","9606.ENSP00000360998",237,"9606.ENSP00000360998"
"9606.ENSP00000353007","9606.ENSP00000437737",237,"9606.ENSP00000437737"
"9606.ENSP00000353007","9606.ENSP00000494147",237,"9606.ENSP00000494147"
"9606.ENSP00000216807","9606.ENSP00000353007",236,"9606.ENSP00000216807"
"9606.ENSP00000262291","9606.ENSP00000353007",236,"9606.ENSP00000262291"
"9606.ENSP00000353007","9606.ENSP00000379140",236,"9606.ENSP00000379140"
"9606.ENSP00000261208","9606.ENSP00000353007",235,"9606.ENSP00000261208"
"9606.ENSP00000326445","9606.ENSP00000353007",235,"9606.ENSP00000326445"
"9606.ENSP00000353007","9606.ENSP00000368370",233,"9606.ENSP00000368370"
"9606.ENSP00000333845","9606.ENSP00000353007",232,"9606.ENSP00000333845"
"9606.ENSP00000353007","9606.ENSP00000363124",232,"9606.ENSP00000363124"
"9606.ENSP00000353007","9606.ENSP00000368523",232,"9606.ENSP00000368523"
"9606.ENSP00000275493","9606.ENSP00000353007",231,"9606.ENSP00000275493"
"9606.ENSP00000333640","9606.ENSP00000353007",230,"9606.ENSP00000333640"
"9606.ENSP00000222390","9606.ENSP00000353007",228,"9606.ENSP00000222390"
"9606.ENSP00000265174","9606.ENSP00000353007",228,"9606.ENSP00000265174"
"9606.ENSP00000314223","9606.ENSP00000353007",228,"9606.ENSP00000314223"
"9606.ENSP00000353007","9606.ENSP00000361009",228,"9606.ENSP00000361009"
"9606.ENSP00000307297","9606.ENSP00000353007",227,"9606.ENSP00000307297"
"9606.ENSP00000353007","9606.ENSP00000354794",227,"9606.ENSP00000354794"
"9606.ENSP00000261523","9606.ENSP00000353007",226,"9606.ENSP00000261523"
"9606.ENSP00000353007","9606.ENSP00000360183",226,"9606.ENSP00000360183"
"9606.ENSP00000343158","9606.ENSP00000353007",225,"9606.ENSP00000343158"
"9606.ENSP00000337452","9606.ENSP00000353007",224,"9606.ENSP00000337452"
"9606.ENSP00000349547","9606.ENSP00000353007",224,"9606.ENSP00000349547"
"9606.ENSP00000353007","9606.ENSP00000473194",224,"9606.ENSP00000473194"
"9606.ENSP00000353007","9606.ENSP00000494750",224,"9606.ENSP00000494750"
"9606.ENSP00000263593","9606.ENSP00000353007",223,"9606.ENSP00000263593"
"9606.ENSP00000353007","9606.ENSP00000364902",223,"9606.ENSP00000364902"
"9606.ENSP00000284981","9606.ENSP00000353007",222,"9606.ENSP00000284981"
"9606.ENSP00000300557","9606.ENSP00000353007",222,"9606.ENSP00000300557"
"9606.ENSP00000353007","9606.ENSP00000427018",222,"9606.ENSP00000427018"
"9606.ENSP00000226951","9606.ENSP00000353007",221,"9606.ENSP00000226951"
"9606.ENSP00000228347","9606.ENSP00000353007",221,"9606.ENSP00000228347"
"9606.ENSP00000263733","9606.ENSP00000353007",221,"9606.ENSP00000263733"
"9606.ENSP00000353007","9606.ENSP00000363081",221,"9606.ENSP00000363081"
"9606.ENSP00000353007","9606.ENSP00000370625",221,"9606.ENSP00000370625"
"9606.ENSP00000353007","9606.ENSP00000444136",221,"9606.ENSP00000444136"
"9606.ENSP00000353007","9606.ENSP00000439689",220,"9606.ENSP00000439689"
"9606.ENSP00000217420","9606.ENSP00000353007",219,"9606.ENSP00000217420"
"9606.ENSP00000340982","9606.ENSP00000353007",218,"9606.ENSP00000340982"
"9606.ENSP00000346839","9606.ENSP00000353007",218,"9606.ENSP00000346839"
"9606.ENSP00000353007","9606.ENSP00000369071",218,"9606.ENSP00000369071"
"9606.ENSP00000244576","9606.ENSP00000353007",217,"9606.ENSP00000244576"
"9606.ENSP00000353007","9606.ENSP00000416330",217,"9606.ENSP00000416330"
"9606.ENSP00000246914","9606.ENSP00000353007",216,"9606.ENSP00000246914"
"9606.ENSP00000265806","9606.ENSP00000353007",216,"9606.ENSP00000265806"
"9606.ENSP00000297954","9606.ENSP00000353007",216,"9606.ENSP00000297954"
"9606.ENSP00000341292","9606.ENSP00000353007",216,"9606.ENSP00000341292"
"9606.ENSP00000346667","9606.ENSP00000353007",216,"9606.ENSP00000346667"
"9606.ENSP00000353007","9606.ENSP00000465204",216,"9606.ENSP00000465204"
"9606.ENSP00000006658","9606.ENSP00000353007",215,"9606.ENSP00000006658"
"9606.ENSP00000276055","9606.ENSP00000353007",215,"9606.ENSP00000276055"
"9606.ENSP00000353007","9606.ENSP00000368496",215,"9606.ENSP00000368496"
"9606.ENSP00000353007","9606.ENSP00000387356",215,"9606.ENSP00000387356"
"9606.ENSP00000347648","9606.ENSP00000353007",214,"9606.ENSP00000347648"
"9606.ENSP00000351539","9606.ENSP00000353007",214,"9606.ENSP00000351539"
"9606.ENSP00000353007","9606.ENSP00000361405",214,"9606.ENSP00000361405"
"9606.ENSP00000017003","9606.ENSP00000353007",213,"9606.ENSP00000017003"
"9606.ENSP00000227507","9606.ENSP00000353007",211,"9606.ENSP00000227507"
"9606.ENSP00000302843","9606.ENSP00000353007",211,"9606.ENSP00000302843"
"9606.ENSP00000353007","9606.ENSP00000445002",211,"9606.ENSP00000445002"
"9606.ENSP00000217939","9606.ENSP00000353007",210,"9606.ENSP00000217939"
"9606.ENSP00000251582","9606.ENSP00000353007",210,"9606.ENSP00000251582"
"9606.ENSP00000221930","9606.ENSP00000353007",209,"9606.ENSP00000221930"
"9606.ENSP00000254079","9606.ENSP00000353007",209,"9606.ENSP00000254079"
"9606.ENSP00000353007","9606.ENSP00000381231",209,"9606.ENSP00000381231"
"9606.ENSP00000353007","9606.ENSP00000485527",209,"9606.ENSP00000485527"
"9606.ENSP00000341170","9606.ENSP00000353007",208,"9606.ENSP00000341170"
"9606.ENSP00000353007","9606.ENSP00000460236",208,"9606.ENSP00000460236"
"9606.ENSP00000337065","9606.ENSP00000353007",207,"9606.ENSP00000337065"
"9606.ENSP00000353007","9606.ENSP00000366460",207,"9606.ENSP00000366460"
"9606.ENSP00000353007","9606.ENSP00000377055",207,"9606.ENSP00000377055"
"9606.ENSP00000353007","9606.ENSP00000414750",207,"9606.ENSP00000414750"
"9606.ENSP00000269571","9606.ENSP00000353007",206,"9606.ENSP00000269571"
