"from","to","combined_score","target"
"9606.ENSP00000311905","9606.ENSP00000356257",217,"9606.ENSP00000356257"
"9606.ENSP00000204604","9606.ENSP00000311905",216,"9606.ENSP00000204604"
"9606.ENSP00000290866","9606.ENSP00000311905",216,"9606.ENSP00000290866"
"9606.ENSP00000311905","9606.ENSP00000498934",216,"9606.ENSP00000498934"
"9606.ENSP00000302719","9606.ENSP00000311905",215,"9606.ENSP00000302719"
"9606.ENSP00000311905","9606.ENSP00000341013",215,"9606.ENSP00000341013"
"9606.ENSP00000311905","9606.ENSP00000344242",215,"9606.ENSP00000344242"
"9606.ENSP00000282701","9606.ENSP00000311905",214,"9606.ENSP00000282701"
"9606.ENSP00000297848","9606.ENSP00000311905",214,"9606.ENSP00000297848"
"9606.ENSP00000206423","9606.ENSP00000311905",213,"9606.ENSP00000206423"
"9606.ENSP00000311905","9606.ENSP00000334472",213,"9606.ENSP00000334472"
"9606.ENSP00000311905","9606.ENSP00000415769",213,"9606.ENSP00000415769"
"9606.ENSP00000263556","9606.ENSP00000311905",212,"9606.ENSP00000263556"
"9606.ENSP00000311905","9606.ENSP00000323720",212,"9606.ENSP00000323720"
"9606.ENSP00000311905","9606.ENSP00000400365",212,"9606.ENSP00000400365"
"9606.ENSP00000311905","9606.ENSP00000400997",212,"9606.ENSP00000400997"
"9606.ENSP00000251582","9606.ENSP00000311905",211,"9606.ENSP00000251582"
"9606.ENSP00000219271","9606.ENSP00000311905",210,"9606.ENSP00000219271"
"9606.ENSP00000228865","9606.ENSP00000311905",210,"9606.ENSP00000228865"
"9606.ENSP00000266546","9606.ENSP00000311905",210,"9606.ENSP00000266546"
"9606.ENSP00000311905","9606.ENSP00000441954",210,"9606.ENSP00000441954"
"9606.ENSP00000311905","9606.ENSP00000477817",210,"9606.ENSP00000477817"
"9606.ENSP00000311905","9606.ENSP00000363708",209,"9606.ENSP00000363708"
"9606.ENSP00000311905","9606.ENSP00000364694",209,"9606.ENSP00000364694"
"9606.ENSP00000311905","9606.ENSP00000384490",209,"9606.ENSP00000384490"
"9606.ENSP00000311905","9606.ENSP00000426103",209,"9606.ENSP00000426103"
"9606.ENSP00000222145","9606.ENSP00000311905",208,"9606.ENSP00000222145"
"9606.ENSP00000223061","9606.ENSP00000311905",208,"9606.ENSP00000223061"
