"from","to","combined_score","target"
"9606.ENSP00000352021","9606.ENSP00000446093",255,"9606.ENSP00000352021"
"9606.ENSP00000354742","9606.ENSP00000446093",255,"9606.ENSP00000354742"
"9606.ENSP00000336724","9606.ENSP00000446093",254,"9606.ENSP00000336724"
"9606.ENSP00000355251","9606.ENSP00000446093",254,"9606.ENSP00000355251"
"9606.ENSP00000263346","9606.ENSP00000446093",252,"9606.ENSP00000263346"
"9606.ENSP00000318318","9606.ENSP00000446093",252,"9606.ENSP00000318318"
"9606.ENSP00000342778","9606.ENSP00000446093",252,"9606.ENSP00000342778"
"9606.ENSP00000369614","9606.ENSP00000446093",252,"9606.ENSP00000369614"
"9606.ENSP00000380184","9606.ENSP00000446093",252,"9606.ENSP00000380184"
"9606.ENSP00000392094","9606.ENSP00000446093",252,"9606.ENSP00000392094"
"9606.ENSP00000350686","9606.ENSP00000446093",251,"9606.ENSP00000350686"
"9606.ENSP00000358983","9606.ENSP00000446093",251,"9606.ENSP00000358983"
"9606.ENSP00000365804","9606.ENSP00000446093",251,"9606.ENSP00000365804"
"9606.ENSP00000446093","9606.ENSP00000479130",250,"9606.ENSP00000479130"
"9606.ENSP00000321498","9606.ENSP00000446093",248,"9606.ENSP00000321498"
"9606.ENSP00000351926","9606.ENSP00000446093",248,"9606.ENSP00000351926"
"9606.ENSP00000439056","9606.ENSP00000446093",248,"9606.ENSP00000439056"
"9606.ENSP00000446093","9606.ENSP00000501135",248,"9606.ENSP00000501135"
"9606.ENSP00000353375","9606.ENSP00000446093",247,"9606.ENSP00000353375"
"9606.ENSP00000356448","9606.ENSP00000446093",247,"9606.ENSP00000356448"
"9606.ENSP00000247970","9606.ENSP00000446093",246,"9606.ENSP00000247970"
"9606.ENSP00000269305","9606.ENSP00000446093",246,"9606.ENSP00000269305"
"9606.ENSP00000353793","9606.ENSP00000446093",246,"9606.ENSP00000353793"
"9606.ENSP00000378176","9606.ENSP00000446093",246,"9606.ENSP00000378176"
"9606.ENSP00000415836","9606.ENSP00000446093",246,"9606.ENSP00000415836"
"9606.ENSP00000446093","9606.ENSP00000495413",246,"9606.ENSP00000495413"
"9606.ENSP00000245544","9606.ENSP00000446093",245,"9606.ENSP00000245544"
"9606.ENSP00000295095","9606.ENSP00000446093",245,"9606.ENSP00000295095"
"9606.ENSP00000327197","9606.ENSP00000446093",245,"9606.ENSP00000327197"
"9606.ENSP00000262960","9606.ENSP00000446093",244,"9606.ENSP00000262960"
"9606.ENSP00000367498","9606.ENSP00000446093",244,"9606.ENSP00000367498"
"9606.ENSP00000375951","9606.ENSP00000446093",244,"9606.ENSP00000375951"
"9606.ENSP00000381795","9606.ENSP00000446093",244,"9606.ENSP00000381795"
"9606.ENSP00000338413","9606.ENSP00000446093",243,"9606.ENSP00000338413"
"9606.ENSP00000358921","9606.ENSP00000446093",243,"9606.ENSP00000358921"
"9606.ENSP00000337445","9606.ENSP00000446093",242,"9606.ENSP00000337445"
"9606.ENSP00000446093","9606.ENSP00000493357",242,"9606.ENSP00000493357"
"9606.ENSP00000349003","9606.ENSP00000446093",241,"9606.ENSP00000349003"
"9606.ENSP00000297325","9606.ENSP00000446093",240,"9606.ENSP00000297325"
"9606.ENSP00000348496","9606.ENSP00000446093",240,"9606.ENSP00000348496"
"9606.ENSP00000363391","9606.ENSP00000446093",240,"9606.ENSP00000363391"
"9606.ENSP00000446093","9606.ENSP00000478417",240,"9606.ENSP00000478417"
"9606.ENSP00000357682","9606.ENSP00000446093",239,"9606.ENSP00000357682"
"9606.ENSP00000216190","9606.ENSP00000446093",238,"9606.ENSP00000216190"
"9606.ENSP00000261205","9606.ENSP00000446093",238,"9606.ENSP00000261205"
"9606.ENSP00000306760","9606.ENSP00000446093",237,"9606.ENSP00000306760"
"9606.ENSP00000446093","9606.ENSP00000483001",237,"9606.ENSP00000483001"
"9606.ENSP00000310668","9606.ENSP00000446093",236,"9606.ENSP00000310668"
"9606.ENSP00000379156","9606.ENSP00000446093",236,"9606.ENSP00000379156"
"9606.ENSP00000446093","9606.ENSP00000479542",236,"9606.ENSP00000479542"
"9606.ENSP00000314004","9606.ENSP00000446093",235,"9606.ENSP00000314004"
"9606.ENSP00000404923","9606.ENSP00000446093",234,"9606.ENSP00000404923"
"9606.ENSP00000446093","9606.ENSP00000464849",234,"9606.ENSP00000464849"
"9606.ENSP00000342755","9606.ENSP00000446093",233,"9606.ENSP00000342755"
"9606.ENSP00000364578","9606.ENSP00000446093",233,"9606.ENSP00000364578"
"9606.ENSP00000392828","9606.ENSP00000446093",233,"9606.ENSP00000392828"
"9606.ENSP00000292478","9606.ENSP00000446093",232,"9606.ENSP00000292478"
"9606.ENSP00000279387","9606.ENSP00000446093",231,"9606.ENSP00000279387"
"9606.ENSP00000431076","9606.ENSP00000446093",230,"9606.ENSP00000431076"
"9606.ENSP00000229243","9606.ENSP00000446093",229,"9606.ENSP00000229243"
"9606.ENSP00000314029","9606.ENSP00000446093",229,"9606.ENSP00000314029"
"9606.ENSP00000252512","9606.ENSP00000446093",228,"9606.ENSP00000252512"
"9606.ENSP00000294288","9606.ENSP00000446093",228,"9606.ENSP00000294288"
"9606.ENSP00000338673","9606.ENSP00000446093",228,"9606.ENSP00000338673"
"9606.ENSP00000380044","9606.ENSP00000446093",228,"9606.ENSP00000380044"
"9606.ENSP00000446093","9606.ENSP00000479693",228,"9606.ENSP00000479693"
"9606.ENSP00000246194","9606.ENSP00000446093",227,"9606.ENSP00000246194"
"9606.ENSP00000331201","9606.ENSP00000446093",227,"9606.ENSP00000331201"
"9606.ENSP00000446093","9606.ENSP00000466967",227,"9606.ENSP00000466967"
"9606.ENSP00000356381","9606.ENSP00000446093",225,"9606.ENSP00000356381"
"9606.ENSP00000257287","9606.ENSP00000446093",224,"9606.ENSP00000257287"
"9606.ENSP00000301244","9606.ENSP00000446093",224,"9606.ENSP00000301244"
"9606.ENSP00000326550","9606.ENSP00000446093",224,"9606.ENSP00000326550"
"9606.ENSP00000332591","9606.ENSP00000446093",224,"9606.ENSP00000332591"
"9606.ENSP00000266254","9606.ENSP00000446093",223,"9606.ENSP00000266254"
"9606.ENSP00000314499","9606.ENSP00000446093",223,"9606.ENSP00000314499"
"9606.ENSP00000376154","9606.ENSP00000446093",223,"9606.ENSP00000376154"
"9606.ENSP00000225729","9606.ENSP00000446093",222,"9606.ENSP00000225729"
"9606.ENSP00000253928","9606.ENSP00000446093",222,"9606.ENSP00000253928"
"9606.ENSP00000379869","9606.ENSP00000446093",222,"9606.ENSP00000379869"
"9606.ENSP00000394624","9606.ENSP00000446093",222,"9606.ENSP00000394624"
"9606.ENSP00000446093","9606.ENSP00000472620",222,"9606.ENSP00000472620"
"9606.ENSP00000204726","9606.ENSP00000446093",220,"9606.ENSP00000204726"
"9606.ENSP00000369080","9606.ENSP00000446093",220,"9606.ENSP00000369080"
"9606.ENSP00000409378","9606.ENSP00000446093",220,"9606.ENSP00000409378"
"9606.ENSP00000357542","9606.ENSP00000446093",219,"9606.ENSP00000357542"
"9606.ENSP00000301764","9606.ENSP00000446093",218,"9606.ENSP00000301764"
"9606.ENSP00000351113","9606.ENSP00000446093",218,"9606.ENSP00000351113"
"9606.ENSP00000359393","9606.ENSP00000446093",218,"9606.ENSP00000359393"
"9606.ENSP00000389810","9606.ENSP00000446093",218,"9606.ENSP00000389810"
"9606.ENSP00000371686","9606.ENSP00000446093",217,"9606.ENSP00000371686"
"9606.ENSP00000224807","9606.ENSP00000446093",215,"9606.ENSP00000224807"
"9606.ENSP00000352928","9606.ENSP00000446093",215,"9606.ENSP00000352928"
"9606.ENSP00000363313","9606.ENSP00000446093",215,"9606.ENSP00000363313"
"9606.ENSP00000411672","9606.ENSP00000446093",215,"9606.ENSP00000411672"
"9606.ENSP00000413098","9606.ENSP00000446093",215,"9606.ENSP00000413098"
"9606.ENSP00000446093","9606.ENSP00000463650",215,"9606.ENSP00000463650"
"9606.ENSP00000296370","9606.ENSP00000446093",214,"9606.ENSP00000296370"
"9606.ENSP00000364691","9606.ENSP00000446093",214,"9606.ENSP00000364691"
"9606.ENSP00000385722","9606.ENSP00000446093",214,"9606.ENSP00000385722"
"9606.ENSP00000231484","9606.ENSP00000446093",213,"9606.ENSP00000231484"
"9606.ENSP00000362836","9606.ENSP00000446093",213,"9606.ENSP00000362836"
